,Date,Trend,Seasonal,Residual,Overall Conv
2021-12-22,2021-12-31,1.7126949342077542,-0.09113195688421025,-0.0073128821304490384,1.614250095193095
2021-12-23,2022-01-31,1.7232164885645465,-0.29580661016395904,-0.007425924655568828,1.4199839537450185
2021-12-24,2022-02-28,1.7416172293097338,-0.07228034810777179,-0.007531740748797216,1.6618051404531649
2021-12-25,2022-03-31,1.7670772519004032,1.179000272467084,-0.007630792371841321,2.9384467319956458
2021-12-26,2022-04-30,1.7982407370158109,0.09530807338055389,-0.007723511954735911,1.8858252984416288
2021-12-27,2022-05-31,1.8334099509879451,-0.11929940605992316,-0.007810304283704805,1.7063002406443173
2021-12-28,2022-06-30,1.8708022814985927,0.15533772706097873,-0.007891548268337574,2.018248460291234
2021-12-29,2022-07-31,1.9088182456741913,-0.10409704394883203,-0.007967598595796526,1.7967536031295628
2021-12-30,2022-08-31,1.9462591181437294,-0.4422879730599159,-0.00803878727927576,1.4959323578045378
2021-12-31,2022-09-30,1.982440791446293,-0.21232914544618442,-0.008105425107472383,1.7620062208926361
2022-01-01,2022-10-31,2.0158493947071894,-0.11391181982177291,-0.008167803001397867,1.8937697718840185
2022-01-02,2022-11-30,2.04894902637519,0.5114283879256373,-0.008226193284452983,2.5521512210163744
2022-01-03,2022-12-31,2.0819374316203465,-0.14439587833986642,-0.00828085087131107,1.929260702409169
2022-01-04,2023-01-31,2.114847624720498,0.46079473765321555,-0.008332014380799955,2.5673103479929136
2022-01-05,2023-02-28,2.147693109067805,-0.34200171898083775,-0.008379907177641059,1.797311482909326
2022-01-06,2023-03-31,2.180481363865902,-0.1232195439967468,-0.008424738347593573,2.0488370815215617
2022-01-07,2023-04-30,2.2132151374744446,0.4661877259170505,-0.008466703610260926,2.670936159781234
2022-01-08,2023-05-31,2.2458943648527865,-0.4143410215878544,-0.008505986173544583,1.8230473570913874
2022-01-09,2023-06-30,2.278518291893672,-0.06480828818060068,-0.008542757533475448,2.205167246179596
2022-01-10,2023-07-31,2.311087457525517,-0.3952165192193242,-0.008577178222914716,1.9072937600832782
